year,CO2,fragment
2004,340718.9806975928,urban
2005,1379689.216309542,urban
2006,1158624.1252915622,urban
2007,4923454.000757286,urban
2008,4786619.44847282,urban
2009,4613065.077052374,urban
2010,5684350.7539287675,urban
2011,10273199.958026303,urban
2012,11289977.21177784,urban
2013,12213995.065200422,urban
2014,9962009.426515827,urban
2015,9931078.02550771,urban
2016,9544415.822244212,urban
2017,9170381.371530963,urban
2018,8662427.289599618,urban
2019,8421139.213089477,urban
2020,6444896.356519011,urban
2021,7479097.568853933,urban
2022,7304066.7285910845,urban
2023,7469901.941358206,urban
2004,32563.491151648785,non_urban
2005,38960.45624204952,non_urban
2006,37769.499343176845,non_urban
2007,154762.87076576395,non_urban
2008,126393.80469689543,non_urban
2009,159205.91744519508,non_urban
2010,214290.80224234555,non_urban
2011,213852.60917356127,non_urban
2012,173894.5943029093,non_urban
2013,214230.26353164256,non_urban
2014,202875.20455257886,non_urban
2015,206786.2475522412,non_urban
2016,163098.73003660975,non_urban
2017,182205.22143066765,non_urban
2018,154108.35491619466,non_urban
2019,161300.82957121485,non_urban
2020,185707.96136415267,non_urban
2021,209823.02501289966,non_urban
2022,194440.58300819868,non_urban
2023,195073.25261418516,non_urban
